Date,SizeInKB,Hour,Index Size
1987-12-31,240,19,48
1998-08-26,5,4,1
1998-09-25,5,3,1
1998-10-02,63,11,12.6
1998-10-15,5,6,1
1998-10-22,4,1,0.8
1998-10-22,5,6,1
1998-10-28,7,7,1.4
1998-12-24,5,1,1
1998-12-24,5,2,1
1998-12-31,5,4,1
1998-12-31,6,9,1.2
1999-01-05,8,2,1.6
1999-01-08,6,6,1.2
1999-02-04,14,12,2.8
1999-02-08,4,6,0.8
1999-03-05,4,3,0.8
1999-03-05,3,6,0.6
1999-04-29,5,8,1
1999-06-01,5,8,1
1999-06-01,5,9,1
1999-06-02,6,5,1.2
1999-07-07,4,6,0.8
1999-07-29,5,9,1
1999-08-03,3,18,0.6
1999-08-05,4,5,0.8
1999-08-05,5,19,1
1999-08-13,4,2,0.8
1999-08-23,5,6,1
1999-08-24,4,3,0.8
1999-08-24,6,14,1.2
1999-08-25,6,20,1.2
1999-08-26,8,1,1.6
1999-08-27,5,1,1
1999-09-01,6,8,1.2
1999-09-06,13,1,2.6
1999-09-06,5,8,1
1999-09-09,4,2,0.8
1999-09-14,5,6,1
1999-09-16,6,3,1.2
1999-09-20,5,1,1
1999-09-21,4,2,0.8
1999-09-22,5,6,1
1999-09-28,5,7,1
1999-09-29,6,3,1.2
1999-10-05,5,13,1
1999-10-06,6,2,1.2
1999-10-08,5,2,1
1999-10-08,7,5,1.4
1999-10-13,6,10,1.2
1999-10-20,9,6,1.8
1999-10-25,6,7,1.2
1999-10-27,5,3,1
1999-10-27,6,6,1.2
1999-10-28,8,0,1.6
1999-10-28,10,2,2
1999-11-02,5,14,1
1999-11-02,8,16,1.6
1999-11-05,5,7,1
1999-11-10,5,3,1
1999-11-10,11,5,2.2
1999-11-10,7,6,1.4
1999-11-11,8,1,1.6
1999-11-15,5,2,1
1999-11-17,5,14,1
1999-11-18,7,10,1.4
1999-11-22,10,7,2
1999-11-24,6,2,1.2
1999-11-24,4,7,0.8
1999-11-24,4,8,0.8
1999-11-24,6,9,1.2
1999-11-24,5,12,1
1999-12-02,8,9,1.6
1999-12-10,7,1,1.4
1999-12-10,8,6,1.6
1999-12-14,6,5,1.2
1999-12-14,5,6,1
1999-12-23,8,2,1.6
2000-01-04,10,6,2
2000-01-04,4,11,0.8
2000-01-05,6,1,1.2
2000-01-05,15,3,3
2000-01-05,5,5,1
2000-01-05,4,6,0.8
2000-01-06,5,2,1
2000-01-06,7,6,1.4
2000-01-06,4,8,0.8
2000-01-07,15,3,3
2000-01-10,6,3,1.2
2000-01-11,5,2,1
2000-01-19,4,6,0.8
2000-01-19,6,11,1.2
2000-01-27,4,4,0.8
2000-01-28,6,2,1.2
2000-01-28,10,3,2
2000-02-01,30,2,6
2000-02-01,7,6,1.4
2000-02-02,4,6,0.8
2000-02-02,6,10,1.2
2000-02-02,4,11,0.8
2000-02-03,5,1,1
2000-02-04,93,3,18.6
2000-02-04,4,6,0.8
2000-02-09,6,3,1.2
2000-02-17,6,2,1.2
2000-02-18,5,3,1
2000-02-18,6,9,1.2
2000-02-22,14,10,2.8
2000-02-24,6,3,1.2
2000-02-25,6,3,1.2
2000-02-25,24,8,4.8
2000-02-25,14,9,2.8
2000-02-25,15,11,3
2000-02-28,5,2,1
2000-02-28,5,3,1
2000-02-28,19,8,3.8
2000-02-28,20,9,4
2000-02-29,5,9,1
2000-03-01,12,3,2.4
2000-03-01,5,6,1
2000-03-01,4,12,0.8
2000-03-02,6,0,1.2
2000-03-02,4,12,0.8
2000-03-03,10,3,2
2000-03-03,7,6,1.4
2000-03-03,10,11,2
2000-03-10,32,19,6.4
2000-03-13,4,5,0.8
2000-03-14,855,8,171
2000-03-15,8,1,1.6
2000-03-15,18,2,3.6
2000-03-15,14,9,2.8
2000-03-16,7,19,1.4
2000-03-17,5,11,1
2000-03-20,970,14,194
2000-03-21,12,4,2.4
2000-03-22,5,9,1
2000-03-23,9,3,1.8
2000-04-04,4,3,0.8
2000-04-04,17,7,3.4
2000-04-04,21,8,4.2
2000-04-04,11,11,2.2
2000-04-10,25,16,5
2000-04-11,9,6,1.8
2000-04-14,6,3,1.2
2000-04-20,15,7,3
2000-04-21,15,1,3
2000-04-25,4,3,0.8
2000-04-25,5,4,1
2000-04-25,7,5,1.4
2000-04-27,5,1,1
2000-04-27,5,3,1
2000-04-27,4,6,0.8
2000-05-04,3718,9,743.6
2000-05-08,9,19,1.8
2000-05-09,5,2,1
2000-05-09,17,7,3.4
2000-05-09,17,8,3.4
2000-05-10,5,3,1
2000-05-12,6,12,1.2
2000-05-17,7,5,1.4
2000-05-17,4,13,0.8
2000-05-22,5,8,1
2000-05-22,7,9,1.4
2000-05-23,4,3,0.8
2000-05-24,16,9,3.2
2000-05-26,4,6,0.8
2000-05-26,9,8,1.8
2000-05-29,4,5,0.8
2000-05-29,11,6,2.2
2000-05-30,6,3,1.2
2000-05-30,6,9,1.2
2000-05-30,5,11,1
2000-05-31,10,3,2
2000-05-31,7,17,1.4
2000-05-31,7,23,1.4
2000-06-01,7,1,1.4
2000-06-01,15,3,3
2000-06-01,7,8,1.4
2000-06-01,4,9,0.8
2000-06-01,8,20,1.6
2000-06-02,8,9,1.6
2000-06-05,8,2,1.6
2000-06-05,10,4,2
2000-06-05,11,9,2.2
2000-06-06,12,3,2.4
2000-06-06,7,5,1.4
2000-06-06,11,6,2.2
2000-06-06,20,8,4
2000-06-06,7,9,1.4
2000-06-06,7,10,1.4
2000-06-06,10,12,2
2000-06-07,17,1,3.4
2000-06-08,15,3,3
2000-06-08,7,7,1.4
2000-06-08,10,12,2
2000-06-09,12,4,2.4
2000-06-09,7,6,1.4
2000-06-09,5,10,1
2000-06-12,16,3,3.2
2000-06-13,6,2,1.2
2000-06-13,5,3,1
2000-06-13,4,12,0.8
2000-06-14,7,1,1.4
2000-06-16,5,8,1
2000-06-19,63,5,12.6
2000-06-20,64,1,12.8
2000-06-20,8,2,1.6
2000-06-21,11,1,2.2
2000-06-21,15,2,3
2000-06-21,12,3,2.4
2000-06-21,9,4,1.8
2000-06-21,9,7,1.8
2000-06-21,9,14,1.8
2000-06-22,18,3,3.6
2000-06-25,20,3,4
2000-06-27,142,7,28.4
2000-06-27,6,14,1.2
2000-06-27,20,23,4
2000-06-29,7,7,1.4
2000-06-29,9,8,1.8
2000-06-29,13,9,2.6
2000-06-29,21,10,4.2
2000-06-29,5,12,1
2000-06-29,4,13,0.8
2000-06-30,7,0,1.4
2000-06-30,6,2,1.2
2000-06-30,14,8,2.8
2000-06-30,11,9,2.2
2000-07-03,23,7,4.6
2000-07-04,6,1,1.2
2000-07-04,4,4,0.8
2000-07-06,7,9,1.4
2000-07-06,12,16,2.4
2000-07-07,36,2,7.2
2000-07-12,355,20,71
2000-07-13,7,12,1.4
2000-07-14,13,3,2.6
2000-07-14,6,13,1.2
2000-07-18,5,0,1
2000-07-19,358,22,71.6
2000-07-24,14,1,2.8
2000-07-24,5,3,1
2000-07-26,15,2,3
2000-08-01,27,2,5.4
